;x.0;x.1;x.2;x.3;x.4;x.5;x.6;x.7;x.8;x.9;x.10;x.11;x.12;x.13;x.14;x.20;x.17;x.18;x.19;x.16;y
659;a;28,5;3.04;y;p;x;h;2.54;t;t;t;f;g;70.0;f;?;104,88512840344865;15,471034477944347;70000.0;f;good
660;b;27,83;1.5;u;g;w;v;2.0;t;t;11;t;g;434.0;35;?;101,17365093149526;9,375961617917138;434000.0;f;good
661;a;58,33;10.0;u;g;q;v;4.0;t;t;14;f;g;f;1602;?;220,44382090473053;53,408284876539476;f;?;good
662;b;41,17;4.04;u;g;cc;h;7.0;t;t;8;f;g;320.0;f;?;153,767655625796;22,088072218937533;320000.0;f;good
663;b;36,33;2.125;y;p;w;v;0.085;t;t;t;f;g;50.0;1187;?;138,68766750212055;11,077167989738914;50000.0;?;good
664;b;42,0;0.205;u;g;i;h;5.125;t;f;f;f;g;400.0;f;?;160,30476057408552;1,1462944451017572;400000.0;f;good
665;b;44,33;0.5;u;g;i;h;5.0;t;f;f;t;g;320.0;f;?;166,95811631793185;3,4430109858464766;320000.0;?;good
666;b;42,08;1.04;u;g;w;v;5.0;t;t;6;t;g;500.0;10000;?;157,72036146897702;5,314717778393929;500000.0;f;good
667;b;26,17;0.25;u;g;i;bb;f;t;f;f;t;g;f;f;?;100,30127094848798;1,6532248110944336;f;f;good
668;b;20,42;1.835;u;g;c;v;2.25;t;t;t;f;g;100.0;150;?;74,2617471676903;10,672881031682124;100000.0;f;good
669;b;25,0;12.5;u;g;aa;v;3.0;t;f;f;t;s;20.0;f;?;94,1511837590753;70,13171065454735;20000.0;?;good
670;a;60,58;16.5;u;g;q;v;11.0;t;f;f;t;g;21.0;10561;?;230,34032242630929;93,5298934215066;21000.0;f;good
671;b;36,67;4.415;y;p;k;v;0.25;t;t;10;t;g;320.0;f;?;139,4725821902511;25,20270241008399;320000.0;f;good
672;a;28,67;1.04;u;g;c;v;2.5;t;t;5;t;g;300.0;1430;?;108,1737863709579;7,4938678205796485;300000.0;?;good
673;a;22,42;5.665;u;g;q;v;2.585;t;t;7;f;g;129.0;3257;?;85,33086557114885;31,813322126631554;129000.0;f;good
674;a;25,08;2.54;y;p;aa;v;0.25;t;f;f;t;g;370.0;f;?;93,39237155988211;13,425831422375047;370000.0;?;good
675;b;28,92;15.0;u;g;c;h;5.335;t;t;11;f;g;f;2283;?;111,13129798257751;83,4009201363878;f;f;good
676;b;56,75;12.25;u;g;m;v;1.25;t;t;4;t;g;200.0;f;?;210,75168837309715;69,34477153520153;200000.0;f;good
677;a;46,67;0.46;u;g;cc;h;0.415;t;t;11;t;g;440.0;6;?;174,3666722840977;2,677512450373975;440000.0;f;good
678;b;41,42;5.0;u;g;q;h;5.0;t;t;6;t;g;470.0;f;?;159,63295615558684;26,81451721150068;470000.0;?;good
679;b;56,0;12.5;u;g;k;h;8.0;t;f;f;t;g;24.0;2028;?;209,042710397625;70,0554336198232;24000.0;f;good
680;a;37,75;5.5;u;g;q;v;0.125;t;f;f;t;g;228.0;f;?;143,11822354967865;31,322818066651813;228000.0;?;good
681;b;48,58;0.205;y;p;k;v;0.25;t;t;11;f;g;380.0;2732;?;183,24006371368893;1,6311080076269127;380000.0;?;good
682;a;52,83;15.0;u;g;c;v;5.5;t;t;14;f;g;f;2200;?;198,18652264169856;84,52708163848905;f;f;good
683;b;21,83;0.25;u;g;d;h;0.665;t;f;f;t;g;f;f;?;81,5385810170045;2,979437875920871;f;f;good
684;b;23,33;11.625;y;p;w;v;0.835;t;f;f;t;g;160.0;300;?;89,25088716328372;63,77832786003496;160000.0;?;good
685;a;30,5;6.5;u;g;c;bb;4.0;t;t;7;t;g;f;3065;?;115,58788750343724;37,35598082090464;f;f;good
686;a;49,83;13.585;u;g;k;h;8.5;t;f;f;t;g;f;f;?;187,89145552104085;77,05855369441598;f;f;good
687;b;53,92;9.625;u;g;e;v;8.665;t;t;5;f;g;f;f;?;204,43964626364598;52,66410069956167;f;f;good
688;b;41,42;5.0;u;g;q;h;5.0;t;t;6;t;g;470.0;f;?;159,63295615558684;26,81451721150068;470000.0;f;good
689;b;36,67;3.25;u;g;q;h;9.0;t;f;f;t;g;102.0;639;?;137,20503976057304;18,72278355333971;102000.0;?;good
690;a;71,58;f;?;?;?;?;f;a;f;f;f;p;?;f;?;273,1107166424912;0,713278953193817;?;f;good
691;b;54,58;9.415;u;g;ff;ff;14.415;t;t;11;t;g;30.0;300;?;204,0857849246297;51,59678265311633;30000.0;f;good
692;b;23,25;4.0;u;g;c;bb;0.25;t;f;f;t;g;160.0;f;?;89,76743425687096;21,779188357438215;160000.0;f;good
693;b;28,33;5.0;u;g;w;v;11.0;t;f;f;t;g;70.0;f;?;106,96736134823264;25,927602380430223;70000.0;?;good
694;a;23,5;9.0;u;g;q;v;8.5;t;t;5;t;g;120.0;f;?;87,9698827127618;49,070137367262134;120000.0;f;good
695;b;35,17;4.5;u;g;x;h;5.75;a;f;f;t;s;711.0;f;?;132,69399359300144;24,838059319085914;711000.0;f;good
696;a;28,67;1.04;u;g;c;v;2.5;t;t;5;t;g;300.0;1430;?;108,1737863709579;7,4938678205796485;300000.0;f;good
697;a;37,75;5.5;u;g;q;v;0.125;t;f;f;t;g;228.0;f;?;143,11822354967865;31,322818066651813;228000.0;f;good
698;a;23,0;11.75;u;g;x;h;0.5;t;t;2;t;g;300.0;551;?;84,75408413580291;66,35546473610667;300000.0;f;good
699;b;39,92;6.21;u;g;q;v;0.04;t;t;t;f;g;200.0;300;?;150,34527961856327;35,66336266708667;200000.0;?;good
700;a;47,25;0.75;u;g;q;h;2.75;t;t;t;f;g;333.0;892;?;176,9914677639187;5,452863111328432;333000.0;f;good
701;a;47,75;8.0;u;g;c;v;7.875;t;t;6;t;g;f;1260;?;178,28238340720986;45,693100343510835;f;?;good
702;b;25,08;1.71;u;g;x;v;1.665;t;t;t;t;g;395.0;20;?;91,6043589853218;9,24847486334709;395000.0;?;good
703;b;25,0;11.25;u;g;c;v;2.5;t;t;17;f;g;200.0;1208;?;92,70966968232182;62,172767761989064;200000.0;?;good
704;b;25,0;12.5;u;g;aa;v;3.0;t;f;f;t;s;20.0;f;?;94,1511837590753;70,13171065454735;20000.0;f;good
705;a;25,08;2.54;y;p;aa;v;0.25;t;f;f;t;g;370.0;f;?;93,39237155988211;13,425831422375047;370000.0;f;good
706;b;56,75;12.25;u;g;m;v;1.25;t;t;4;t;g;200.0;f;?;210,75168837309715;69,34477153520153;200000.0;f;good
707;a;20,67;1.835;u;g;q;v;2.085;t;t;5;f;g;220.0;2503;?;82,82645262876704;10,680372224790322;220000.0;f;good
708;a;23,5;9.0;u;g;q;v;8.5;t;t;5;t;g;120.0;f;?;87,9698827127618;49,070137367262134;120000.0;?;good
709;a;33,08;4.625;u;g;q;h;1.625;t;t;2;f;g;f;f;?;126,53490782170728;24,220939206582276;f;?;good
710;a;25,08;2.54;y;p;aa;v;0.25;t;f;f;t;g;370.0;f;?;93,39237155988211;13,425831422375047;370000.0;?;good
711;b;33,5;1.75;u;g;x;h;4.5;t;t;4;t;g;253.0;857;?;126,91094921845416;8,580366164938761;253000.0;f;good
712;b;23,25;1.5;u;g;q;v;2.375;t;t;3;t;g;f;582;?;87,44878912903197;8,89019872794423;f;f;good
713;b;31,92;4.46;u;g;cc;h;6.04;t;t;3;f;g;311.0;300;?;122,42843424302413;26,036456287419938;311000.0;f;good
714;b;28,0;2.0;u;g;k;h;4.165;t;t;2;t;g;181.0;f;?;107,5762054190474;11,612335553828549;181000.0;f;good
715;b;57,83;7.04;u;g;m;v;14.0;t;t;6;t;g;360.0;1332;?;220,84892128957057;40,07103339131855;360000.0;f;good
716;b;34,92;2.5;u;g;w;v;f;t;f;f;t;g;239.0;200;?;131,09466582310515;14,036096571287535;239000.0;f;good
717;b;34,08;0.08;y;p;m;bb;0.04;t;t;t;t;g;280.0;2000;?;127,30605465811978;1,4567043474025236;280000.0;?;good
718;b;25,67;12.5;u;g;cc;v;1.21;t;t;67;t;g;140.0;258;?;92,35535753572351;69,68027663211377;140000.0;?;good
719;b;25,5;0.375;u;g;m;v;0.25;t;t;3;f;g;260.0;15108;?;95,01924631390723;2,34547465835269;260000.0;f;good
720;b;37,42;2.04;u;g;w;v;0.04;t;f;f;t;g;400.0;5800;?;140,38312106454907;11,615096837206979;400000.0;f;good
721;b;32,67;5.5;u;g;q;h;5.5;t;t;12;t;g;408.0;1000;?;125,43697445883696;30,434345662905983;408000.0;f;good
722;b;42,5;4.915;y;p;w;v;3.165;t;f;f;t;g;52.0;1442;?;167,51788889152746;27,79226478514832;52000.0;?;good
723;b;35,17;25.125;u;g;x;h;1.625;t;t;t;t;g;515.0;500;?;136,12785657969476;140,22246247365476;515000.0;f;good
724;a;26,08;8.665;u;g;aa;v;1.415;t;f;f;f;g;160.0;150;?;97,36498224804417;47,08881791690664;160000.0;f;good
725;b;34,17;1.54;u;g;cc;v;1.54;t;t;t;t;g;520.0;50000;?;129,67757970516732;7,952429160232198;520000.0;f;good
726;a;44,17;6.665;u;g;q;v;7.375;t;t;3;t;g;f;f;?;165,5335634409154;38,64918901704511;f;f;good
727;b;67,75;5.5;u;g;e;z;13.0;t;t;t;t;g;f;f;?;256,4968250040341;29,240145239432483;f;f;good
728;a;40,33;7.54;y;p;q;h;8.0;t;t;14;f;g;f;2300;?;150,2122418033849;42,00525002304978;f;?;good
729;b;26,17;0.25;u;g;i;bb;f;t;f;f;t;g;f;f;?;100,30127094848798;1,6532248110944336;f;f;good
730;b;26,0;t;u;g;q;v;1.75;t;f;f;t;g;280.0;f;?;101,55964639635141;4,997697433413862;280000.0;f;good
731;a;20,75;10.335;u;g;cc;h;0.335;t;t;t;t;g;80.0;50;?;80,20874486821869;57,67320819600724;80000.0;?;good
732;b;27,25;1.585;u;g;cc;h;1.835;t;t;12;t;g;583.0;713;?;106,02127960182524;8,940649836697641;583000.0;?;good
733;b;47,67;2.5;u;g;m;bb;2.5;t;t;12;t;g;410.0;2510;?;179,4557426447716;12,718880714792292;410000.0;f;good
734;a;18,42;9.25;u;g;q;v;1.21;t;t;4;f;g;60.0;540;?;74,23175296709533;51,157569794631755;60000.0;f;good
735;a;18,83;9.54;u;g;aa;v;0.085;t;f;f;f;g;100.0;f;?;73,43702356217655;53,26096594732757;100000.0;f;good
736;?;24,5;12.75;u;g;c;bb;4.75;t;t;2;f;g;73.0;444;?;90,31758425998663;71,20047789567036;73000.0;f;good
737;b;27,83;1.5;u;g;w;v;2.0;t;t;11;t;g;434.0;35;?;101,17365093149526;9,375961617917138;434000.0;f;good
738;b;37,5;1.125;y;p;d;v;1.5;a;f;f;t;g;431.0;f;?;142,71282893055113;5,502009139465553;431000.0;f;good
739;a;20,75;10.25;u;g;q;v;0.71;t;t;2;t;g;49.0;f;?;76,95618100795284;59,075031931843256;49000.0;?;good
740;b;21,33;10.5;u;g;c;v;3.0;t;f;f;t;g;f;f;?;82,08646601747917;59,23722355940694;f;?;good
741;a;24,08;0.5;u;g;q;h;1.25;t;t;t;f;g;f;678;?;92,74793816815001;3,2643617743722135;f;f;good
742;b;48,17;7.625;u;g;w;h;15.5;t;t;12;f;g;f;790;?;179,94609290637268;43,14893988605714;f;f;good
743;b;28,25;5.04;y;p;c;bb;1.5;t;t;8;t;g;144.0;7;?;109,53543153641061;27,885976041932686;144000.0;f;good
744;b;37,5;1.125;y;p;d;v;1.5;a;f;f;t;g;431.0;f;?;142,71282893055113;5,502009139465553;431000.0;f;good
745;b;24,83;2.75;u;g;c;v;2.25;t;t;6;f;g;?;600;?;91,15015080431874;16,99038149514617;?;f;good
746;b;48,58;0.205;y;p;k;v;0.25;t;t;11;f;g;380.0;2732;?;183,24006371368893;1,6311080076269127;380000.0;f;good
747;b;39,58;13.915;u;g;w;v;8.625;t;t;6;t;g;70.0;f;?;150,16952774596047;79,15622018560197;70000.0;?;good
748;b;28,0;2.0;u;g;k;h;4.165;t;t;2;t;g;181.0;f;?;107,5762054190474;11,612335553828549;181000.0;?;good
749;b;34,5;4.04;y;p;i;bb;8.5;t;t;7;t;g;195.0;f;?;132,44548701665536;23,475470504025026;195000.0;?;good
750;b;22,08;0.83;u;g;c;h;2.165;b;f;f;t;g;128.0;f;?;84,33001344445209;4,418577802756041;128000.0;f;good
751;a;23,25;5.875;u;g;q;v;3.17;t;t;10;f;g;120.0;245;?;86,46113984037167;31,694410917636603;120000.0;?;good
752;b;41,42;5.0;u;g;q;h;5.0;t;t;6;t;g;470.0;f;?;159,63295615558684;26,81451721150068;470000.0;f;good
753;b;56,0;12.5;u;g;k;h;8.0;t;f;f;t;g;24.0;2028;?;209,042710397625;70,0554336198232;24000.0;?;good
754;b;28,67;9.335;u;g;q;h;5.665;t;t;6;f;g;381.0;168;?;108,92585909722858;52,51724107269955;381000.0;?;good
755;b;34,17;1.54;u;g;cc;v;1.54;t;t;t;t;g;520.0;50000;?;129,67757970516732;7,952429160232198;520000.0;f;good
756;a;22,5;8.46;y;p;x;v;2.46;a;f;f;f;g;164.0;f;?;83,54639044510382;48,49853299295595;164000.0;f;good
757;a;45,83;10.5;u;g;q;v;5.0;t;t;7;t;g;f;f;?;174,93305594333833;58,65171979917443;f;f;good
758;b;60,08;14.5;u;g;ff;ff;18.0;t;t;15;t;g;f;1000;?;229,62330125976897;79,85251742972298;f;f;good
759;a;46,67;0.46;u;g;cc;h;0.415;t;t;11;t;g;440.0;6;?;174,3666722840977;2,677512450373975;440000.0;f;good
760;b;28,67;9.335;u;g;q;h;5.665;t;t;6;f;g;381.0;168;?;108,92585909722858;52,51724107269955;381000.0;f;good
761;a;23,25;5.875;u;g;q;v;3.17;t;t;10;f;g;120.0;245;?;86,46113984037167;31,694410917636603;120000.0;?;good
762;a;22,92;11.585;u;g;cc;v;0.04;t;f;f;f;g;80.0;1349;?;89,88295769840687;63,9982328921678;80000.0;?;good
763;b;49,5;7.585;u;g;i;bb;7.585;t;t;15;t;g;f;5000;?;188,390343909053;42,725213111712414;f;?;good
764;b;44,33;0.5;u;g;i;h;5.0;t;f;f;t;g;320.0;f;?;166,95811631793185;3,4430109858464766;320000.0;f;good
765;b;34,08;0.08;y;p;m;bb;0.04;t;t;t;t;g;280.0;2000;?;127,30605465811978;1,4567043474025236;280000.0;f;good
766;b;52,5;6.5;u;g;k;v;6.29;t;t;15;f;g;f;11202;?;200,84140269555115;37,492575007111284;f;f;good
767;b;25,17;3.5;u;g;cc;v;0.625;t;t;7;f;g;f;7059;?;92,96459239253504;19,78938753656599;f;f;good
768;a;44,17;6.665;u;g;q;v;7.375;t;t;3;t;g;f;f;?;165,5335634409154;38,64918901704511;f;f;good
769;b;36,67;3.25;u;g;q;h;9.0;t;f;f;t;g;102.0;639;?;137,20503976057304;18,72278355333971;102000.0;f;good
770;b;23,17;f;u;g;cc;v;0.085;t;f;f;f;g;f;f;?;91,1642527697928;1,1948194766682447;f;?;good
771;a;47,25;0.75;u;g;q;h;2.75;t;t;t;f;g;333.0;892;?;176,9914677639187;5,452863111328432;333000.0;f;good
772;a;21,25;2.335;u;g;i;bb;0.5;t;t;4;f;s;80.0;f;?;77,90332303906466;13,880187481567233;80000.0;f;good
773;b;36,67;3.25;u;g;q;h;9.0;t;f;f;t;g;102.0;639;?;137,20503976057304;18,72278355333971;102000.0;?;good
774;b;34,42;4.25;u;g;i;bb;3.25;t;t;2;f;g;274.0;610;?;130,2561296880488;21,711801951221513;274000.0;f;good
775;b;27,25;1.665;u;g;cc;h;5.085;t;t;9;f;g;399.0;827;?;103,12757255592481;10,848760383867871;399000.0;f;good
776;b;56,0;12.5;u;g;k;h;8.0;t;f;f;t;g;24.0;2028;?;209,042710397625;70,0554336198232;24000.0;f;good
777;a;40,83;10.0;u;g;q;h;1.75;t;f;f;f;g;29.0;837;?;152,6405052457402;55,309304514869574;29000.0;f;good
778;b;48,17;3.5;u;g;aa;v;3.5;t;f;f;f;s;230.0;f;?;179,37299597612244;22,69180346320544;230000.0;f;good
779;a;19,67;0.21;u;g;q;h;0.29;t;t;11;f;g;80.0;99;?;70,19643607917592;1,7568915273666403;80000.0;f;good
780;b;36,25;5.0;u;g;c;bb;2.5;t;t;6;f;g;f;367;?;140,59198497469785;28,043582781228793;f;f;good
781;a;46,67;0.46;u;g;cc;h;0.415;t;t;11;t;g;440.0;6;?;174,3666722840977;2,677512450373975;440000.0;?;good
782;b;31,67;16.165;u;g;d;v;3.0;t;t;9;f;g;250.0;730;?;122,61777862926004;89,44064026726925;250000.0;?;good
783;a;27,42;14.5;u;g;x;h;3.085;t;t;t;f;g;120.0;11;?;106,2707349011944;83,52617976005051;120000.0;?;good
784;b;19,67;0.375;u;g;q;v;2.0;t;t;2;t;g;80.0;f;?;76,48492583572703;1,7196083330867018;80000.0;f;good
785;b;22,75;11.0;u;g;q;v;2.5;t;t;7;t;g;100.0;809;?;86,89163230655194;62,03126885379006;100000.0;f;good
786;b;29,67;1.415;u;g;w;h;0.75;t;t;t;f;g;240.0;100;?;112,25305766337942;6,604351225453198;240000.0;f;good
787;a;58,33;10.0;u;g;q;v;4.0;t;t;14;f;g;f;1602;?;220,44382090473053;53,408284876539476;f;f;good
788;b;31,92;4.46;u;g;cc;h;6.04;t;t;3;f;g;311.0;300;?;122,42843424302413;26,036456287419938;311000.0;f;good
789;b;36,25;5.0;u;g;c;bb;2.5;t;t;6;f;g;f;367;?;140,59198497469785;28,043582781228793;f;f;good
790;b;48,58;6.5;u;g;q;h;6.0;t;f;f;t;g;350.0;f;?;183,2290101900161;37,08885932269432;350000.0;f;good
791;b;60,08;14.5;u;g;ff;ff;18.0;t;t;15;t;g;f;1000;?;229,62330125976897;79,85251742972298;f;f;good
792;a;33,67;0.375;u;g;cc;v;0.375;c;f;f;f;g;300.0;44;?;128,20309224156142;2,970301096184344;300000.0;f;good
793;b;25,17;3.5;u;g;cc;v;0.625;t;t;7;f;g;f;7059;?;92,96459239253504;19,78938753656599;f;?;good
794;b;56,42;28.0;y;p;c;v;28.5;t;t;40;f;g;f;15;?;213,75783937860714;157,88851152312307;f;?;good
795;b;42,0;9.79;u;g;x;h;7.96;t;t;8;f;g;f;f;?;159,31360473434742;54,631922437781284;f;?;good
796;b;54,58;9.415;u;g;ff;ff;14.415;t;t;11;t;g;30.0;300;?;204,0857849246297;51,59678265311633;30000.0;f;good
797;a;33,67;0.375;u;g;cc;v;0.375;c;f;f;f;g;300.0;44;?;128,20309224156142;2,970301096184344;300000.0;f;good
798;a;25,75;0.5;u;g;c;h;0.875;t;f;f;t;g;491.0;f;?;95,94337526269624;3,4409965723577987;491000.0;f;good
799;b;34,42;4.25;u;g;i;bb;3.25;t;t;2;f;g;274.0;610;?;130,2561296880488;21,711801951221513;274000.0;f;good
800;a;17,83;11.0;u;g;x;h;t;t;t;11;f;g;f;3000;?;69,40477288686701;61,3884400198449;f;f;good
801;b;48,08;6.04;u;g;k;v;0.04;a;f;f;f;g;f;2690;?;183,772559767657;34,30025724626518;f;?;good
802;a;41,33;t;u;g;i;bb;2.25;t;f;f;t;g;f;300;?;156,577107673316;4,70468160482802;f;f;good
803;b;20,42;1.835;u;g;c;v;2.25;t;t;t;f;g;100.0;150;?;74,2617471676903;10,672881031682124;100000.0;f;good
804;a;32,33;0.54;u;g;cc;v;0.04;t;f;f;f;g;440.0;11177;?;123,54094817282439;4,276533343747676;440000.0;?;good
805;b;60,08;14.5;u;g;ff;ff;18.0;t;t;15;t;g;f;1000;?;229,62330125976897;79,85251742972298;f;f;good
806;a;26,08;8.665;u;g;aa;v;1.415;t;f;f;f;g;160.0;150;?;97,36498224804417;47,08881791690664;160000.0;f;good
807;b;23,25;4.0;u;g;c;bb;0.25;t;f;f;t;g;160.0;f;?;89,76743425687096;21,779188357438215;160000.0;f;good
808;a;33,08;4.625;u;g;q;h;1.625;t;t;2;f;g;f;f;?;126,53490782170728;24,220939206582276;f;?;good
809;a;25,75;0.5;u;g;c;h;0.875;t;f;f;t;g;491.0;f;?;95,94337526269624;3,4409965723577987;491000.0;f;good
810;b;29,92;1.835;u;g;c;h;4.335;t;f;f;f;g;260.0;200;?;111,18935773730952;9,230494089007827;260000.0;f;good
811;a;23,42;0.79;y;p;q;v;1.5;t;t;2;t;g;80.0;400;?;86,33932152364319;5,007132746136966;80000.0;?;good
812;b;28,92;15.0;u;g;c;h;5.335;t;t;11;f;g;f;2283;?;111,13129798257751;83,4009201363878;f;f;good
813;b;57,42;8.5;u;g;e;h;7.0;t;t;3;f;g;f;f;?;217,10661787562447;48,22554382928715;f;?;good
814;b;36,67;4.415;y;p;k;v;0.25;t;t;10;t;g;320.0;f;?;139,4725821902511;25,20270241008399;320000.0;?;good
815;b;32,67;5.5;u;g;q;h;5.5;t;t;12;t;g;408.0;1000;?;125,43697445883696;30,434345662905983;408000.0;f;good
816;a;20,67;1.835;u;g;q;v;2.085;t;t;5;f;g;220.0;2503;?;82,82645262876704;10,680372224790322;220000.0;?;good
817;b;41,5;1.54;u;g;i;bb;3.5;b;f;f;f;g;216.0;f;?;158,19274851363414;7,470288878592845;216000.0;f;good
818;b;23,25;t;u;g;c;v;0.835;t;f;f;f;s;300.0;f;?;85,35035924259397;6,484371526263234;300000.0;f;good
819;b;26,67;2.71;y;p;cc;v;5.25;t;t;t;f;g;211.0;f;?;100,90013840537502;13,79642523161031;211000.0;f;good
820;a;58,33;10.0;u;g;q;v;4.0;t;t;14;f;g;f;1602;?;220,44382090473053;53,408284876539476;f;f;good
821;a;46,67;0.46;u;g;cc;h;0.415;t;t;11;t;g;440.0;6;?;174,3666722840977;2,677512450373975;440000.0;?;good
822;b;17,5;22.0;l;gg;ff;o;f;b;f;f;t;p;450.0;100000;?;65,91824806404536;123,44982498739293;450000.0;?;good
823;b;22,08;0.83;u;g;c;h;2.165;b;f;f;t;g;128.0;f;?;84,33001344445209;4,418577802756041;128000.0;f;good
824;a;44,17;6.665;u;g;q;v;7.375;t;t;3;t;g;f;f;?;165,5335634409154;38,64918901704511;f;f;good
825;b;39,92;6.21;u;g;q;v;0.04;t;t;t;f;g;200.0;300;?;150,34527961856327;35,66336266708667;200000.0;?;good
826;b;24,33;6.625;y;p;d;v;5.5;t;f;f;t;s;100.0;f;?;94,6690574003098;36,883943794794284;100000.0;f;good
827;b;39,5;4.25;u;g;c;bb;6.5;t;t;16;f;g;117.0;1210;?;149,62961716478978;24,50559061918065;117000.0;f;good
828;b;19,17;f;y;p;m;bb;f;c;f;f;t;s;500.0;t;?;71,0128454749627;0,2975556363051042;500000.0;f;good
829;b;39,92;6.21;u;g;q;v;0.04;t;t;t;f;g;200.0;300;?;150,34527961856327;35,66336266708667;200000.0;f;good
830;b;55,92;11.5;u;g;ff;ff;5.0;t;t;5;f;g;f;8851;?;211,60322800910814;64,2288561474397;f;?;good
831;b;25,67;12.5;u;g;cc;v;1.21;t;t;67;t;g;140.0;258;?;92,35535753572351;69,68027663211377;140000.0;f;good
832;b;36,75;0.125;y;p;c;v;1.5;c;f;f;t;g;232.0;113;?;137,13275871966076;1,6057722131336811;232000.0;f;good
833;b;41,5;1.54;u;g;i;bb;3.5;b;f;f;f;g;216.0;f;?;158,19274851363414;7,470288878592845;216000.0;f;good
834;a;21,67;11.5;y;p;j;j;f;t;t;11;t;g;f;f;?;80,56016735437161;63,20439122827052;f;f;good
835;a;18,42;9.25;u;g;q;v;1.21;t;t;4;f;g;60.0;540;?;74,23175296709533;51,157569794631755;60000.0;f;good
836;b;24,83;2.75;u;g;c;v;2.25;t;t;6;f;g;?;600;?;91,15015080431874;16,99038149514617;?;?;good
837;a;15,83;0.585;u;g;c;h;1.5;t;t;2;f;g;100.0;f;?;57,05587081517274;3,1374689870344046;100000.0;f;good
838;a;47,42;3.0;u;g;x;v;13.875;t;t;2;t;g;519.0;1704;?;177,27294921830935;18,64143363426699;519000.0;f;good
839;b;57,83;7.04;u;g;m;v;14.0;t;t;6;t;g;360.0;1332;?;220,84892128957057;40,07103339131855;360000.0;f;good
840;b;27,75;0.585;y;p;cc;v;0.25;t;t;2;f;g;260.0;500;?;102,4198031652081;1,0145276450457255;260000.0;f;good
841;a;58,42;21.0;u;g;i;bb;10.0;t;t;13;f;g;f;6700;?;219,88014442240055;117,04377137955518;f;f;good
842;b;40,25;21.5;u;g;e;z;20.0;t;t;11;f;g;f;1200;?;155,26403763540088;121,49895592701407;f;?;good
843;a;26,92;13.5;u;g;q;h;5.0;t;t;2;f;g;f;5000;?;103,33654859620127;77,42511685408026;f;f;good
844;a;17,83;11.0;u;g;x;h;t;t;t;11;f;g;f;3000;?;69,40477288686701;61,3884400198449;f;f;good
845;b;48,58;0.205;y;p;k;v;0.25;t;t;11;f;g;380.0;2732;?;183,24006371368893;1,6311080076269127;380000.0;f;good
846;b;25,0;12.5;u;g;aa;v;3.0;t;f;f;t;s;20.0;f;?;94,1511837590753;70,13171065454735;20000.0;f;good
847;a;36,0;t;u;g;c;v;2.0;t;t;11;f;g;f;456;?;136,22773649459683;4,1379239105547745;f;?;good
848;a;41,17;6.5;u;g;q;v;0.5;t;t;3;t;g;145.0;f;?;156,27556008900095;37,52466375816755;145000.0;f;good
849;b;23,25;1.5;u;g;q;v;2.375;t;t;3;t;g;f;582;?;87,44878912903197;8,89019872794423;f;?;good
850;b;23,33;11.625;y;p;w;v;0.835;t;f;f;t;g;160.0;300;?;89,25088716328372;63,77832786003496;160000.0;f;good
851;b;27,83;1.5;u;g;w;v;2.0;t;t;11;t;g;434.0;35;?;101,17365093149526;9,375961617917138;434000.0;f;good
852;b;36,75;0.125;y;p;c;v;1.5;c;f;f;t;g;232.0;113;?;137,13275871966076;1,6057722131336811;232000.0;?;good
853;a;20,67;1.835;u;g;q;v;2.085;t;t;5;f;g;220.0;2503;?;82,82645262876704;10,680372224790322;220000.0;f;good
854;b;42,0;9.79;u;g;x;h;7.96;t;t;8;f;g;f;f;?;159,31360473434742;54,631922437781284;f;?;good
855;b;29,67;1.415;u;g;w;h;0.75;t;t;t;f;g;240.0;100;?;112,25305766337942;6,604351225453198;240000.0;?;good
856;a;31,25;3.75;u;g;cc;h;0.625;t;t;9;t;g;181.0;f;?;114,781750102604;19,815963457796993;181000.0;f;good
857;b;34,08;0.08;y;p;m;bb;0.04;t;t;t;t;g;280.0;2000;?;127,30605465811978;1,4567043474025236;280000.0;f;good
858;b;28,25;5.04;y;p;c;bb;1.5;t;t;8;t;g;144.0;7;?;109,53543153641061;27,885976041932686;144000.0;?;good
859;b;23,08;2.5;u;g;c;v;1.085;t;t;11;t;g;60.0;2184;?;85,98802017870827;13,234652191263608;60000.0;f;good
860;a;71,58;f;?;?;?;?;f;a;f;f;f;p;?;f;?;273,1107166424912;0,713278953193817;?;f;good
861;b;37,33;6.5;u;g;m;h;4.25;t;t;12;t;g;93.0;f;?;138,3787739278114;36,094419181144865;93000.0;f;good
862;a;19,17;8.585;u;g;cc;h;0.75;t;t;7;f;g;96.0;f;?;74,69633891869066;48,2672815946333;96000.0;f;good
863;a;37,75;5.5;u;g;q;v;0.125;t;f;f;t;g;228.0;f;?;143,11822354967865;31,322818066651813;228000.0;f;good
864;b;30,83;f;u;g;w;v;1.25;t;t;t;f;g;202.0;f;?;116,94256980957068;0,5787085579422866;202000.0;f;good
865;b;36,67;4.415;y;p;k;v;0.25;t;t;10;t;g;320.0;f;?;139,4725821902511;25,20270241008399;320000.0;f;good
866;b;18,5;2.0;u;g;i;v;1.5;t;t;2;f;g;120.0;300;?;70,87873973363351;12,051926806461905;120000.0;f;good
867;b;48,75;8.5;u;g;c;h;12.5;t;t;9;f;g;181.0;1655;?;182,7146879857305;48,564146958847296;181000.0;f;good
868;a;58,42;21.0;u;g;i;bb;10.0;t;t;13;f;g;f;6700;?;219,88014442240055;117,04377137955518;f;?;good
